Judul,Penulis,Terbit
Trajectory of life expectancy and its relation with socio-economic indicators among developing countries in Southeast Asian,"MY Wijaya, Y Irene, I Rachadi","Proceedings of The International Conference on Data Science and Official …, 2023"
Application Bootstrap to Estimate the Confidence Intervals of NO2 Levels in the Kriging Method,"N Fitriyati, Y Irene, A Benita","Jurnal EurekaMatika 11 (2), 121-132, 2023"
"PELABELAN TOTAL TITIK (a, d)-ANTIAJAIB PADA GRAF HARARY C_n^ t DAN rC_n^ t","F Ariesa, Y Irene","LOGIK@ 7 (1), 41-45, 2017"
PELABELAN TOTAL SISI-AJAIB SUPER PADA GRAF P_3∪ P_n,Y Irene,"LOGIK@ 6 (1), 23-31, 2016"
"Pelabelan Total (𝒂, 𝒅)-𝑪𝟑-Antiajaib Super pada Graf Ular 𝒎𝑺𝒏","N Inayah, Y Irene","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Kombinasi persyaratan Karush Kuhn Tucker dan Metode Branch and Bound pada pemrograman kuadratik konveks bilangan Bulat Murni,"Y Irene, M Liebenlito","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Distribusi Gamma-Half Cauchy,"Y Irene, MS Mahmudi","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Aplikasi pencarian lintasan terpendek menggunakan algoritma floyd-warshall studi kasus di Kota Bandung,"Y Irene, H Maulana","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Batas atas bilangan dominasi sisi pada graf bunga matahari (SFn),"Y Irene, W Aribowo","Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 0"
Peramalan curah hujan ekstrim menggunakan distribusi generalized extreme value Studi Kasus: Intensitas Curah Hujan Kota Semarang Tahun 2001-2012,"N Fitriyati, Y Irene","Fakultas Sains dan Teknologi UIN Syarif Hidayatullah Jakarta, 0"
Pengenalan Citra Wajah Sebagai Identifier Menggunakan Metode Principal Component Analysis (PCA),"A Budi, H Maulana","Jurnal Teknik Informatika 9 (2), 2016"
Half-space model problem for a compressible fluid model of Korteweg type with slip boundary condition,"S Inna, S Maryani, H Saito","Journal of physics: Conference series 1494 (1), 012014, 2020"
Implementasi Transformasi Wavelet Daubechies pada Kompresi Citra Digital,"S Suma’inna, G Gumilar","J. Mat. Murni dan Apl 2 (4), 211, 2013"
Kompresi Citra Berwarna Menggunakan Transformasi Wavelet,DA Suma’inna,"Jurnal Matematika Integratif ISSN 1412, 6184, 2014"
"Operator Solusi Model Fluida Termampatkan Tipe Korteweg Dengan Kondisi Batas Slip di Half-Space Kasus Koefisien ((μ+ ν)/(2 κ))^ 2-(1/κ)> 0, κ= μ ν, μ≠ ν","S Inna, I Fauziah, M Manaqib, PM Putri","Limits: Journal of Mathematics and Its Applications 20 (2), 191-208, 2023"
Local Solvability for a Compressible Fluid Model of Korteweg Type on General Domains,"S Inna, H Saito","Mathematics 11 (10), 2368, 2023"
Optimasi rute kendaraan dengan kapasitas mengunakan modifikasi algoritma artificial bee colony,MZ Alam,"UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2013, 2013"
Lateral stability control of LAPAN missile using incremental-based model reference adaptive control,"A Istiqomah, S Suma'inna, A Riyadl, RA Duhri, IE Putro","AIP Conference Proceedings 2366 (1), 2021"
On some nonlinear problem for the thermoplate equations,"H Saito, Y Shibata","American Institute of Mathematical Sciences, 2019"
Perbandingan model fungsi transfer dan arima: studi kasus model antara curah hujan dengan kelembaban udara,C Aprialis,"UIN Syarif Hidayatullah Jakarta: Fakultas Sains dan Teknologi, 2010, 2010"
The existence of R R‐bounded solution operator for Navier–Stokes–Korteweg model with slip boundary conditions in half space,S Inna,"Mathematical Methods in the Applied Sciences, 0"
Mathematical model of three species food chain with intraspecific competition and harvesting on predator,"M Manaqib, A Zahra","BAREKENG: Jurnal Ilmu Matematika dan Terapan 16 (2), 551-562, 2022"
Aplikasi suku bunga konstan dan suku bunga stokastik dalam perhitungan aktuaria asuransi dwiguna,W Medikasari,"Fakultas Sains dan Teknologi Universitas Islam Negeri Syarif Hidayatullah …, 2020"
Solusi Model Navier Stokes Korteweg dengan Syarat Batas Slip di Half-Space Berdimensi 3,"A Salsabila, S Inna, M Liebenlito, R Purnomowati","MAJAMATH: Jurnal Matematika dan Pendidikan Matematika 7 (1), 24-43, 2024"
SOLUSI MODEL LINEAR NAVIER-STOKES-KORTEWEG DI R_+^ 3 DENGAN SYARAT BATAS SLIP,"J Prayugo, S Inna, M Mahmudi, N Damiati","Jurnal Lebesgue: Jurnal Ilmiah Pendidikan Matematika, Matematika dan …, 2024"
Active learning on Indonesian Twitter sentiment analysis using uncertainty sampling,"M Liebenlito, N Inayah, E Choerunnisa, TE Sutanto, S Inna","Journal of Applied Data Sciences 5 (1), 114-121, 2024"
Studi Empiris Model BERT dan DistilBERT Analisis Sentimen pada Pemilihan Presiden Indonesia,"M Putri, TE Sutanto, S Inna","Indonesian Journal of Computer Science 12 (5), 2023"
ANALISIS REGRESI LOGISTIK ORDINAL TERHADAP FAKTOR-FAKTOR YANG MEMPENGARUHI WAKTU TUNGGU KERJA ALUMNI MATEMATIKA FST UIN SYARIF HIDAYATULLAH JAKARTA,"S Inna, D Mariana, M Mahmudi, M Manaqib","SIGMA 8 (2), 75-83, 2023"
PENGEMBANGAN MUTU PENGELOLAAN PROGRAM STUDI BERBASIS MONITORING ANALYTIC TOOLS,"S Inna, I Fauziah, A Santoso","Jurnal Ilmiah Matematika dan Pendidikan Matematika 14 (2), 145-160, 2022"
Mathematical model of Ebola virus disease through human transmission and bat transmission,"S Suma’inna, M Manaqib, MA Silvani","AIP Conference Proceedings 2498 (1), 2022"
"Mathematical model of cholera disease through individuals contact, water resources, fly and fish vectors","S Suma’inna, M Manaqib, N Farhana","AIP Conference Proceedings 2498 (1), 2022"
On the maximal L,"Y Shibata, S Inna",
The existence of R-bounded solution operators of the thermoelastic plate equation with Dirichlet boundary conditions,Suma'inna,"MATHEMATICAL METHODS IN THE APPLIED SCIENCES 41 (4), 1578-1599, 2018"
Maximal Lp-Lq regularity theorem for some initial-boundary value problems appearing in mathematical physics,S Inna,"Waseda University, 2018"
Solusi Analitik Masalah Konduksi Panas pada Tabung,A Rakaiwa,"LOGIK@ 6 (1), 11-22, 2016"
Earthquake periodicity analysis in Indonesia using wavelet,SI Mahmudi,"Far East Journal of Mathematical Sciences (FJMS) 98 (2), 221 - 234, 2015"
Detection of cardiac abnormalities based on ECG pattern recognition using wavelet and artificial neural network,S Inna,"Far East Journal of Mathematical Sciences (FJMS) 76 (1), 111 - 122, 2013"
Operator Solusi Model Fluida Termampatkan Tipe Korteweg Dengan Kondisi Batas Slip di Half-Space Kasus Koefisien,"S Inna, I Fauziah, M Manaqib, PM Putri",
ANALISIS REGRESI LOGISTIK ORDINAL FAKTOR-FAKTOR YANG MEMPENGARUHI WAKTU TUNGGU KERJA ALUMNI,"S Inna, D Mariana, MM Mahmudi",
Kompresi Citra Berwarna Menggunakan Transformasi Wavelet,DA Suma’inna,"Jurnal Matematika Integratif ISSN 1412, 6184, 0"
Model matematika penyebaran penyakit pulmonary tuberculosis dengan penggunaan masker medis,"N Inayah, M Manaqib, N Fitriyati, I Yupinto","Barekeng: Jurnal Ilmu Matematika dan Terapan 14 (3), 461-472, 2020"
Web Traffic Anomaly Detection using Stacked Long Short-Term Memory,"F Rahman, TE Sutanto, N Fitriyati","InPrime: Indonesian Journal of Pure and Applied Mathematics 3 (2), 112-121, 2021"
Formulation of the body scrub cream containing moringa seed powder (Moringa oleifera) and its examination dermal acute irritation,"AK Savitri, N Fitriyati, AA Mustika","GEOMATE Journal 17 (62), 244-249, 2019"
Fit of the 2011 Indonesian Mortality Table to Gompertz Law and Makeham Law using Maximum Likelihood Estimation,"DA Putra, N Fitriyati, M Mahmudi","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 68-76, 2019"
Calculation and Management of Premium Funds in Sharia Insurance based on Langevin Type Model of Return on Investment,"K Khotimah, M Mahmudi, N Fitriyati","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 128-135, 2019"
The Annual Constant Premium and Benefit Reserve for Four Participants in Joint Life Insurance,"N Nadilia, N Fitriyati, I Fauziah","InPrime: Indonesian Journal of Pure and Applied Mathematics 2 (2), 97-104, 2020"
Implementation of the model capacited vehicle routing problem with time windows with a goal programming approach in determining the best route for goods distribution,"W Irawan, M Manaqib, N Fitriyati","Jurnal Matematika, Statistika Dan Komputasi 17 (2), 231-239, 2021"
Classification of falciparum parasite in human red blood cells using randomly wired neural network,"N Inayah, M Liebenlito, N Fitriyati, K Monardo","2020 8th International Conference on Cyber and IT Service Management (CITSM …, 2020"
Estimation Parameter d in Autoregressive Fractionally Integrated Moving Average Model in Predicting Wind Speed,"DI Octaviyani, MY Wijaya, N Fitriyati","InPrime: Indonesian Journal of Pure and Applied Mathematics 1 (2), 110-121, 2019"
A monte carlo simulation study to assess estimation methods in cfa on ordinal data,"N Fitriyati, MY Wijaya","CAUCHY: Jurnal Matematika Murni Dan Aplikasi 7 (3), 332-344, 2022"
Energy Saving Potential Prediction and Anomaly Detection in College Buildings,"N Inayah, MY Wijaya, N Fitriyati","Proceedings of the International Conference on Mathematics and Islam (ICMIs …, 2020"
APLIKASI MODEL GSTAR-I DENGAN PENDEKATAN INVERS MATRIKS AUTOKOVARIANS (IMAk) PADA PRAKIRAAN CURAH HUJAN DI PROVINSI BANTEN,"S Maliska, N Fitriyati","LOGIK@ 7 (1), 73-85, 2017"
Bayesian reservoir simulation,"S Darwis, N Fitriyati, AY Gunawan, R Marwati","2012 International Conference on Statistics in Science, Business and …, 2012"
